,Source Account,Date,Structured Timestamp,Tweets Ago,Tweet Text,Tweet Category,Compound,Positive,Neutral,Negative
133,CBS,Wed Aug 01 19:20:59 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=19, tm_min=20, tm_sec=59, tm_wday=2, tm_yday=213, tm_isdst=-1)",34,WATCH: This official in Connecticut kneeled during the pledge of allegiance at a town hall meeting. Her silent prot… https://t.co/MssVAwvugW,Other,0.0,0.0,1.0,0.0
134,CBS,Wed Aug 01 19:13:23 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=19, tm_min=13, tm_sec=23, tm_wday=2, tm_yday=213, tm_isdst=-1)",35,"President Trump called on Attorney General Jeff Sessions in a tweet to end special counsel investigation ""right now… https://t.co/xR7wYdpijV",Other,0.4019,0.137,0.863,0.0
135,CBS,Wed Aug 01 19:00:50 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=19, tm_min=0, tm_sec=50, tm_wday=2, tm_yday=213, tm_isdst=-1)",36,"A Wisconsin man lost both of his legs to a virulent infection after being licked by a dog, family says… https://t.co/C0eXGpZXBr",Other,-0.7184,0.0,0.727,0.273
136,CBS,Wed Aug 01 18:49:23 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=49, tm_sec=23, tm_wday=2, tm_yday=213, tm_isdst=-1)",37,"RT @CBSThisMorning: WATCH: Cody Wilson (@Radomysisky,) the founder of Defense Distributed who has a tombstone outside his office that says…",Other,0.128,0.077,0.923,0.0
137,CBS,Wed Aug 01 18:44:31 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=44, tm_sec=31, tm_wday=2, tm_yday=213, tm_isdst=-1)",38,Fidelity Investments says it will soon offer a pair of mutual funds that charge zero in expenses… https://t.co/GkWw66V4Sj,Other,0.0,0.0,1.0,0.0
138,CBS,Wed Aug 01 18:31:01 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=31, tm_sec=1, tm_wday=2, tm_yday=213, tm_isdst=-1)",39,Among the thousands of firearms discovered at airport security checkpoints around the country in the past two years… https://t.co/jTmsp5JaTB,Other,0.34,0.118,0.882,0.0
139,CBS,Wed Aug 01 18:16:14 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=16, tm_sec=14, tm_wday=2, tm_yday=213, tm_isdst=-1)",40,Remains of what are believed to be U.S. soldiers who were killed in the Korean War were repatriated Wednesday durin… https://t.co/KyvGrXW8LY,Disaster/War,-0.8555,0.0,0.693,0.307
140,CBS,Wed Aug 01 18:08:09 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=8, tm_sec=9, tm_wday=2, tm_yday=213, tm_isdst=-1)",41,"""It's not weak for the president of the United States to state his opinion,"" Sanders says. https://t.co/rdmNemzTTd https://t.co/mrKeQlo8vs",Other,0.6377,0.245,0.755,0.0
141,CBS,Wed Aug 01 18:04:09 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=4, tm_sec=9, tm_wday=2, tm_yday=213, tm_isdst=-1)",42,"RT @CBSThisMorning: WATCH: Passenger video shows the moment an Aeroméxico flight carrying 99 passengers, crashed shortly after taking off i…",Disaster/War,0.0,0.0,1.0,0.0
142,CBS,Wed Aug 01 18:02:08 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=2, tm_sec=8, tm_wday=2, tm_yday=213, tm_isdst=-1)",43,"Q: Does the president think there are too many refugees coming into this country? 

Sanders: The president wants to… https://t.co/uYLnyHICb0",Other,0.0,0.0,1.0,0.0
